case_index,adventure_order,adventure_id,adventure_title,page_count,dimension,catalog_columns,manifest_origin,source_queue,status_at_prepare,manifest_path
1,2,ADV-0278,Witchlight Carnival,33,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0278-v1.yml
2,2,ADV-0278,Witchlight Carnival,33,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0278-v1.yml
3,2,ADV-0278,Witchlight Carnival,33,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0278-v1.yml
4,3,ADV-0172,Salted Legacy,13,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0172-v1.yml
5,3,ADV-0172,Salted Legacy,13,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0172-v1.yml
6,3,ADV-0172,Salted Legacy,13,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0172-v1.yml
7,4,ADV-0044,The Golden Acorn Heist,15,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0044-v1.yml
8,4,ADV-0044,The Golden Acorn Heist,15,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0044-v1.yml
9,4,ADV-0044,The Golden Acorn Heist,15,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0044-v1.yml
10,5,ADV-0018,Hold My Beer,14,Exploration Emphasis,Exploration Emphasis,reused,production-ee-b001,complete,experiments/production-ee-b001/production-ee-b001-gptoss-ee-adv0018-v1.yml
11,5,ADV-0018,Hold My Beer,14,GM Beginner Suitability,GM Beginner Suitability,reused,production-backlog-010,pending,experiments/production-backlog-010/production-backlog-010-qwen-gmbs-adv0018-v1.yml
12,5,ADV-0018,Hold My Beer,14,GM Preparation Burden,GM Preparation Burden,reused,production-backlog-011,pending,experiments/production-backlog-011/production-backlog-011-gemma-gmpb-adv0018-v1.yml
13,6,ADV-0032,Dead in Thay,56,Levels,Level Start + Level End,synthesized_from_frozen_template,production-backlog-009,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-qwen-levels-adv0032-v1.yml
14,6,ADV-0032,Dead in Thay,56,Exploration Emphasis,Exploration Emphasis,synthesized_from_frozen_template,production-ee-b001,pending,experiments/discovery-horizontal-095-v0.1/discovery-horizontal-095-v0.1-gptoss-ee-adv0032-v1.yml
