case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
51,2,1,ADV-0153,The Tomb of Damara,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0153-v1.yml
52,2,2,ADV-0154,Restoring Freedale,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0154-v1.yml
53,2,3,ADV-0157,Retaking the Terror,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0157-v1.yml
54,2,4,ADV-0158,Dougan's Hell,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0158-v1.yml
55,2,5,ADV-0159,What Wakes Below,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0159-v1.yml
56,2,6,ADV-0161,Gods Long Forgotten,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0161-v1.yml
57,2,7,ADV-0171,The Lost Library of Lethchauntos,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,15,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0171-v1.yml
58,2,8,ADV-0168,Blood Night,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0168-v1.yml
59,2,9,ADV-0132,The Eyes of At'ar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0132-v1.yml
60,2,10,ADV-0150,A Restless Eternity,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0150-v1.yml
61,2,11,ADV-0135,Shadow of the Watch,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0135-v1.yml
62,2,12,ADV-0162,The Dallabad Curse,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0162-v1.yml
63,2,13,ADV-0169,Clockwork Memories,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0169-v1.yml
64,2,14,ADV-0170,The Shadow Parliament,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0170-v1.yml
65,2,15,ADV-0163,The Rushdown Well,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0163-v1.yml
66,2,16,ADV-0167,Tide of Teeth,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0167-v1.yml
67,2,17,ADV-0164,Message in a Bottle,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0164-v1.yml
68,2,18,ADV-0165,Wreck of the Silverhand,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0165-v1.yml
69,2,19,ADV-0166,The Treaty of Ostoria,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0166-v1.yml
70,2,20,ADV-0230,Salvage Operation,Ghosts of Saltmarsh,Wizards of the Coast,9,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0230-v1.yml
71,2,21,ADV-0231,Isle of the Abbey,Ghosts of Saltmarsh,Wizards of the Coast,13,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0231-v1.yml
72,2,22,ADV-0233,Tammeraut's Fate,Ghosts of Saltmarsh,Wizards of the Coast,21,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0233-v1.yml
73,2,23,ADV-0228,The Sinister Secret of Saltmarsh,Ghosts of Saltmarsh,Wizards of the Coast,23,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0228-v1.yml
74,2,24,ADV-0232,The Final Enemy,Ghosts of Saltmarsh,Wizards of the Coast,29,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0232-v1.yml
75,2,25,ADV-0234,The Styes,Ghosts of Saltmarsh,Wizards of the Coast,23,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0234-v1.yml
76,2,26,ADV-0229,Danger at Dunwater,Ghosts of Saltmarsh,Wizards of the Coast,25,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0229-v1.yml
77,2,27,ADV-0023,Cloakwood Forest,Heroes of Baldur's Gate,Arcanum Worlds,5,Seriousness,seriousness-reset-only,experiments/production-backlog-012/production-backlog-012-qwen-seriousness-adv0023-v1.yml
