case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
421,8,1,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-025/production-backlog-025-qwen27-nos-adv0628-v1.yml
422,8,2,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-025/production-backlog-025-gptoss-ee-adv0628-v1.yml
423,8,3,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-025/production-backlog-025-gemma-gmpb-adv0628-v1.yml
424,8,4,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-combat-adv0628-v1.yml
425,8,5,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-social-adv0628-v1.yml
426,8,6,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-investigation-adv0628-v1.yml
427,8,7,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,Structural Openness,production-base,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-structural-openness-adv0628-v1.yml
428,8,8,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-darkness-adv0628-v1.yml
429,8,9,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-player-beginner-adv0628-v1.yml
430,8,10,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-gmbs-adv0628-v1.yml
431,8,11,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-025/production-backlog-025-qwen-seriousness-adv0628-v1.yml
432,8,12,36,ADV-0628,Launch a Crusade,LS Remarkable Guilds & their Heroes,Loresmyth,2,Levels,levels-v2.1,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-levels-adv0628-v1.yml
433,8,13,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-025/production-backlog-025-qwen27-nos-adv0629-v1.yml
434,8,14,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-025/production-backlog-025-gptoss-ee-adv0629-v1.yml
435,8,15,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-025/production-backlog-025-gemma-gmpb-adv0629-v1.yml
436,8,16,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-combat-adv0629-v1.yml
437,8,17,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-social-adv0629-v1.yml
438,8,18,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-investigation-adv0629-v1.yml
439,8,19,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,Structural Openness,production-base,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-structural-openness-adv0629-v1.yml
440,8,20,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-darkness-adv0629-v1.yml
441,8,21,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-player-beginner-adv0629-v1.yml
442,8,22,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-gmbs-adv0629-v1.yml
443,8,23,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-025/production-backlog-025-qwen-seriousness-adv0629-v1.yml
444,8,24,37,ADV-0629,Save the Library,LS Remarkable Guilds & their Heroes,Loresmyth,2,Levels,levels-v2.1,qwen,base,experiments/production-backlog-025/production-backlog-025-qwen-levels-adv0629-v1.yml
