case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
1,1,1,ADV-0102,Keyport in Danger,Sunken Isles,Loresmyth,1,Combat Emphasis,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-combat-adv0102-v1.yml
2,1,2,ADV-0102,Keyport in Danger,Sunken Isles,Loresmyth,1,Structural Openness,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-structural-openness-adv0102-v1.yml
3,1,3,ADV-0102,Keyport in Danger,Sunken Isles,Loresmyth,1,Darkness / Horror Intensity,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-darkness-adv0102-v1.yml
4,1,4,ADV-0102,Keyport in Danger,Sunken Isles,Loresmyth,1,Player Beginner Suitability,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-player-beginner-adv0102-v1.yml
5,1,5,ADV-0102,Keyport in Danger,Sunken Isles,Loresmyth,1,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-social-adv0102-v1.yml
6,1,6,ADV-0102,Keyport in Danger,Sunken Isles,Loresmyth,1,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-investigation-adv0102-v1.yml
7,1,7,ADV-0237,The First Mission,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,3,Combat Emphasis,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-combat-adv0237-v1.yml
8,1,8,ADV-0237,The First Mission,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,3,Structural Openness,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-structural-openness-adv0237-v1.yml
9,1,9,ADV-0237,The First Mission,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,3,Darkness / Horror Intensity,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-darkness-adv0237-v1.yml
10,1,10,ADV-0237,The First Mission,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,3,Player Beginner Suitability,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-player-beginner-adv0237-v1.yml
11,1,11,ADV-0237,The First Mission,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,3,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-social-adv0237-v1.yml
12,1,12,ADV-0237,The First Mission,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,3,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-investigation-adv0237-v1.yml
13,1,13,ADV-0173,Written in Blood,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Combat Emphasis,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-combat-adv0173-v1.yml
14,1,14,ADV-0173,Written in Blood,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Structural Openness,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-structural-openness-adv0173-v1.yml
15,1,15,ADV-0173,Written in Blood,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Darkness / Horror Intensity,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-darkness-adv0173-v1.yml
16,1,16,ADV-0173,Written in Blood,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Player Beginner Suitability,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-player-beginner-adv0173-v1.yml
17,1,17,ADV-0173,Written in Blood,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-social-adv0173-v1.yml
18,1,18,ADV-0173,Written in Blood,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-investigation-adv0173-v1.yml
19,1,19,ADV-0276,Beyond a Lightless Star,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,32,Combat Emphasis,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-combat-adv0276-v1.yml
20,1,20,ADV-0276,Beyond a Lightless Star,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,32,Structural Openness,production-base,experiments/production-backlog-pilot-v1/production-backlog-pilot-v1-qwen-structural-openness-adv0276-v1.yml
