matrix_index,run_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,action,existing_score,manifest_path
1,,ADV-0278,Witchlight Carnival,The Wild Beyond the Witchlight,Wizards of the Coast,33,Combat Emphasis,SKIP_AMC_EXISTING,1,
2,,ADV-0278,Witchlight Carnival,The Wild Beyond the Witchlight,Wizards of the Coast,33,Structural Openness,SKIP_AMC_EXISTING,5,
3,1,ADV-0278,Witchlight Carnival,The Wild Beyond the Witchlight,Wizards of the Coast,33,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0278-v1.yml
4,2,ADV-0278,Witchlight Carnival,The Wild Beyond the Witchlight,Wizards of the Coast,33,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0278-v1.yml
5,,ADV-0200,Lake Monster,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,Combat Emphasis,SKIP_AMC_EXISTING,1,
6,,ADV-0200,Lake Monster,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,Structural Openness,SKIP_AMC_EXISTING,1,
7,3,ADV-0200,Lake Monster,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,Darkness / Horror Intensity,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-darkness-adv0200-v1.yml
8,4,ADV-0200,Lake Monster,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,4,Player Beginner Suitability,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-player-beginner-adv0200-v1.yml
9,,ADV-0230,Salvage Operation,Ghosts of Saltmarsh,Wizards of the Coast,9,Combat Emphasis,SKIP_AMC_EXISTING,4,
10,5,ADV-0230,Salvage Operation,Ghosts of Saltmarsh,Wizards of the Coast,9,Structural Openness,RUN,,experiments/production-overnight3-2026-08-22/production3-qwen-structural-openness-adv0230-v1.yml
